id,name,title,location,lat,lng,tags,bio,email,photo
1,Kris Mayes,Attorney General,"Phoenix, AZ",33.4484,-112.074,"leadership,democracy,governance,voting-rights,electoral-reform,democratic",Kris works tirelessly as Attorney General to protect democratic norms and expand civic participation.,,kris-mayes.jpg
2,Rob Bonta,Attorney General,"Sacramento, CA",38.5816,-121.4944,"leadership,democracy,governance,voting-rights,electoral-reform,democratic","Serving California as Attorney General, Rob champions democratic values and good governance.",,rob-bonta.jpg
3,Letitia James,Attorney General,"Albany, NY",42.6526,-73.7562,"leadership,democracy,governance,voting-rights,electoral-reform,democratic","Serving New York as Attorney General, Letitia champions democratic values and good governance.",,letitia-james.jpg
4,Josh Kaul,Attorney General,"Madison, WI",43.0731,-89.4012,"leadership,democracy,governance,voting-rights,electoral-reform,democratic","Josh serves as Attorney General for Wisconsin, working to strengthen democratic institutions and civic engagement.",,josh-kaul.jpg
5,Katie Hobbs,Governor,"Phoenix, AZ",33.4484,-112.074,"leadership,democracy,governance,policy,state-leadership,democratic",Katie works tirelessly as Governor to protect democratic norms and expand civic participation.,,katie-hobbs.jpg
6,Michael Bennett,Governor,"Denver, CO",39.7392,-104.9903,"leadership,democracy,governance,policy,state-leadership,democratic","Serving Colorado as Governor, Michael champions democratic values and good governance.",,michael-bennett.jpg
7,Ned Lamont,Governor,"Hartford, CT",41.7658,-72.6734,"leadership,democracy,governance,policy,state-leadership,democratic","Ned serves as Governor for Connecticut, working to strengthen democratic institutions and civic engagement.",,ned-lamont.jpg
8,JP Pritzker,Governor,"Springfield, IL",39.7817,-89.6501,"leadership,democracy,governance,policy,state-leadership,democratic",JP works tirelessly as Governor to protect democratic norms and expand civic participation.,,jp-pritzker.jpg
9,Andy Beshear,Governor,"Frankfort, KY",38.2009,-84.8733,"leadership,democracy,governance,policy,state-leadership,democratic","Serving Kentucky as Governor, Andy champions democratic values and good governance.",,andy-beshear.jpg
10,Wes Moore,Governor,"Annapolis, MD",38.9784,-76.4922,"leadership,democracy,governance,policy,state-leadership,democratic","Serving Maryland as Governor, Wes champions democratic values and good governance.",,wes-moore.jpg
11,Maura Healey,Governor,"Boston, MA",42.3601,-71.0589,"leadership,democracy,governance,policy,state-leadership,democratic","Maura serves as Governor for Massachusetts, working to strengthen democratic institutions and civic engagement.",,maura-healey.jpg
12,Gretchen Whitmer,Governor,"Lansing, MI",42.7325,-84.5555,"leadership,democracy,governance,policy,state-leadership,democratic","Serving Michigan as Governor, Gretchen champions democratic values and good governance.",,gretchen-whitmer.jpg
13,Josh Stein,Governor,"Raleigh, NC",35.7796,-78.6382,"leadership,democracy,governance,policy,state-leadership,democratic",Josh works tirelessly as Governor to protect democratic norms and expand civic participation.,,josh-stein.jpg
14,Amy Acton,Governor,"Columbus, OH",39.9612,-82.9988,"leadership,democracy,governance,policy,state-leadership,democratic","As Governor, Amy is committed to defending voting rights and ensuring fair elections in Ohio.",,amy-acton.jpg
15,Josh Shapiro,Governor,"Harrisburg, PA",40.2732,-76.8867,"leadership,democracy,governance,policy,state-leadership,democratic","Josh brings dedicated leadership to the role of Governor, focusing on transparency and accountability.",,josh-shapiro.jpg
16,Spencer Cox,Governor,"Salt Lake City, UT",40.7608,-111.891,"leadership,democracy,governance,policy,state-leadership,republican","Spencer serves as Governor for Utah, working to strengthen democratic institutions and civic engagement.",,spencer-cox.jpg
17,Phil Scott,Governor,"Montpelier, VT",44.2601,-72.5754,"leadership,democracy,governance,policy,state-leadership,republican","Phil serves as Governor for Vermont, working to strengthen democratic institutions and civic engagement.",,phil-scott.jpg
18,French Hill,"U.S. Representative, AR-2","Little Rock, AR",34.7465,-92.2896,"leadership,democracy,governance,federal-legislation,policy,republican","As U.S. Representative, AR-2, French is committed to defending voting rights and ensuring fair elections in AR-2.",,french-hill.jpg
19,Greg Stanton,"U.S. Representative, AZ-4","Phoenix, AZ",33.4484,-112.074,"leadership,democracy,governance,federal-legislation,policy,democratic","Greg works tirelessly as U.S. Representative, AZ-4 to protect democratic norms and expand civic participation.",,greg-stanton.jpg
20,JoAnna Mendoza,"U.S. Representative, AZ-6","Phoenix, AZ",33.4484,-112.074,"leadership,democracy,governance,federal-legislation,policy,democratic","JoAnna serves as U.S. Representative, AZ-6 for AZ-6, working to strengthen democratic institutions and civic engagement.",,joanna-mendoza.jpg
21,Adam Gray,"U.S. Representative, CA-13","Modesto, CA",37.6391,-120.9969,"leadership,democracy,governance,federal-legislation,policy,democratic","Adam works tirelessly as U.S. Representative, CA-13 to protect democratic norms and expand civic participation.",,adam-gray.jpg
22,Sam Liccardo,"U.S. Representative, CA-16","San Jose, CA",37.3382,-121.8863,"leadership,democracy,governance,federal-legislation,policy,democratic","Sam brings dedicated leadership to the role of U.S. Representative, CA-16, focusing on transparency and accountability.",,sam-liccardo.jpg
23,George T. Whitesides,"U.S. Representative, CA-27","Los Angeles, CA",34.0522,-118.2437,"leadership,democracy,governance,federal-legislation,policy,democratic","George works tirelessly as U.S. Representative, CA-27 to protect democratic norms and expand civic participation.",,george-t-whitesides.jpg
24,Eric Jones,"U.S. Representative, CA-4","Sacramento, CA",38.5816,-121.4944,"leadership,democracy,governance,federal-legislation,policy,democratic","Eric serves as U.S. Representative, CA-4 for CA-4, working to strengthen democratic institutions and civic engagement.",,eric-jones.jpg
25,Josh Harder,"U.S. Representative, CA-9","Stockton, CA",37.9577,-121.2908,"leadership,democracy,governance,federal-legislation,policy,democratic","Josh serves as U.S. Representative, CA-9 for CA-9, working to strengthen democratic institutions and civic engagement.",,josh-harder.jpg
26,Joe Neguse,"U.S. Representative, CO-2","Boulder, CO",40.015,-105.2705,"leadership,democracy,governance,federal-legislation,policy,democratic","Joe serves as U.S. Representative, CO-2 for CO-2, working to strengthen democratic institutions and civic engagement.",,joe-neguse.jpg
27,Jason Crow,"U.S. Representative, CO-6","Aurora, CO",39.7294,-104.8319,"leadership,democracy,governance,federal-legislation,policy,democratic","Jason brings dedicated leadership to the role of U.S. Representative, CO-6, focusing on transparency and accountability.",,jason-crow.jpg
28,Brittany Pettersen,"U.S. Representative, CO-7","Denver, CO",39.7392,-104.9903,"leadership,democracy,governance,federal-legislation,policy,democratic","Brittany serves as U.S. Representative, CO-7 for CO-7, working to strengthen democratic institutions and civic engagement.",,brittany-pettersen.jpg
29,Jim Himes,"U.S. Representative, CT-4","Bridgeport, CT",41.1865,-73.1952,"leadership,democracy,governance,federal-legislation,policy,democratic","Serving CT-4 as U.S. Representative, CT-4, Jim champions democratic values and good governance.",,jim-himes.jpg
30,Lucy McBath,"U.S. Representative, GA-6","Atlanta, GA",33.749,-84.388,"leadership,democracy,governance,federal-legislation,policy,democratic","Lucy brings dedicated leadership to the role of U.S. Representative, GA-6, focusing on transparency and accountability.",,lucy-mcbath.jpg
31,Nikki Budzinski,"U.S. Representative, IL-13","Springfield, IL",39.7817,-89.6501,"leadership,democracy,governance,federal-legislation,policy,democratic","As U.S. Representative, IL-13, Nikki is committed to defending voting rights and ensuring fair elections in IL-13.",,nikki-budzinski.jpg
32,Lauren Underwood,"U.S. Representative, IL-14","Naperville, IL",41.7508,-88.1535,"leadership,democracy,governance,federal-legislation,policy,democratic","Lauren works tirelessly as U.S. Representative, IL-14 to protect democratic norms and expand civic participation.",,lauren-underwood.jpg
33,Sean Casten,"U.S. Representative, IL-6","Chicago, IL",41.8781,-87.6298,"leadership,democracy,governance,federal-legislation,policy,democratic","Sean works tirelessly as U.S. Representative, IL-6 to protect democratic norms and expand civic participation.",,sean-casten.jpg
34,Lori Trahan,"U.S. Representative, MA-3","Lowell, MA",42.6334,-71.3162,"leadership,democracy,governance,federal-legislation,policy,democratic","Lori serves as U.S. Representative, MA-3 for MA-3, working to strengthen democratic institutions and civic engagement.",,lori-trahan.jpg
35,Jake Auchincloss,"U.S. Representative, MA-4","Newton, MA",42.337,-71.2092,"leadership,democracy,governance,federal-legislation,policy,democratic","As U.S. Representative, MA-4, Jake is committed to defending voting rights and ensuring fair elections in MA-4.",,jake-auchincloss.jpg
36,Bridget Brink,"U.S. Representative, MI-7","Lansing, MI",42.7325,-84.5555,"leadership,democracy,governance,federal-legislation,policy,democratic","Serving MI-7 as U.S. Representative, MI-7, Bridget champions democratic values and good governance.",,bridget-brink.jpg
37,Kristen McDonald Rivet,"U.S. Representative, MI-8","Flint, MI",43.0125,-83.6875,"leadership,democracy,governance,federal-legislation,policy,democratic","Kristen brings dedicated leadership to the role of U.S. Representative, MI-8, focusing on transparency and accountability.",,kristen-mcdonald-rivet.jpg
38,Don Davis,"U.S. Representative, NC-1","Rocky Mount, NC",35.9382,-77.7905,"leadership,democracy,governance,federal-legislation,policy,democratic","Don brings dedicated leadership to the role of U.S. Representative, NC-1, focusing on transparency and accountability.",,don-davis.jpg
39,Maggie Goodlander,"U.S. Representative, NH-2","Concord, NH",43.2081,-71.5376,"leadership,democracy,governance,federal-legislation,policy,democratic","Maggie brings dedicated leadership to the role of U.S. Representative, NH-2, focusing on transparency and accountability.",,maggie-goodlander.jpg
40,Rebecca Bennett,"U.S. Representative, NJ-7","Newark, NJ",40.7357,-74.1724,"leadership,democracy,governance,federal-legislation,policy,democratic","As U.S. Representative, NJ-7, Rebecca is committed to defending voting rights and ensuring fair elections in NJ-7.",,rebecca-bennett.jpg
41,Dan Goldman,"U.S. Representative, NY-10","Manhattan, NY",40.7831,-73.9712,"leadership,democracy,governance,federal-legislation,policy,democratic","Dan brings dedicated leadership to the role of U.S. Representative, NY-10, focusing on transparency and accountability.",,dan-goldman.jpg
42,Ritchie Torres,"U.S. Representative, NY-15","Bronx, NY",40.8448,-73.8648,"leadership,democracy,governance,federal-legislation,policy,democratic","Ritchie brings dedicated leadership to the role of U.S. Representative, NY-15, focusing on transparency and accountability.",,ritchie-torres.jpg
43,Cait Conley,"U.S. Representative, NY-17","Hudson Valley, NY",41.3948,-73.9574,"leadership,democracy,governance,federal-legislation,policy,democratic","Cait serves as U.S. Representative, NY-17 for NY-17, working to strengthen democratic institutions and civic engagement.",,cait-conley.jpg
44,Pat Ryan,"U.S. Representative, NY-18","Poughkeepsie, NY",41.7004,-73.9209,"leadership,democracy,governance,federal-legislation,policy,democratic","Pat works tirelessly as U.S. Representative, NY-18 to protect democratic norms and expand civic participation.",,pat-ryan.jpg
45,Josh Riley,"U.S. Representative, NY-19","Ithaca, NY",42.444,-76.5019,"leadership,democracy,governance,federal-legislation,policy,democratic","Serving NY-19 as U.S. Representative, NY-19, Josh champions democratic values and good governance.",,josh-riley.jpg
46,Tom Suozzi,"U.S. Representative, NY-3","Long Island, NY",40.7891,-73.135,"leadership,democracy,governance,federal-legislation,policy,democratic","As U.S. Representative, NY-3, Tom is committed to defending voting rights and ensuring fair elections in NY-3.",,tom-suozzi.jpg
47,Laura Gillen,"U.S. Representative, NY-4","Long Island, NY",40.7891,-73.135,"leadership,democracy,governance,federal-legislation,policy,democratic","Laura works tirelessly as U.S. Representative, NY-4 to protect democratic norms and expand civic participation.",,laura-gillen.jpg
48,Hakeem Jeffries,"U.S. Representative, NY-8","Brooklyn, NY",40.6782,-73.9442,"leadership,democracy,governance,federal-legislation,policy,democratic","As U.S. Representative, NY-8, Hakeem is committed to defending voting rights and ensuring fair elections in NY-8.",,hakeem-jeffries.jpg
49,Emilia Sykes,"U.S. Representative, OH-13","Akron, OH",41.0814,-81.519,"leadership,democracy,governance,federal-legislation,policy,democratic","As U.S. Representative, OH-13, Emilia is committed to defending voting rights and ensuring fair elections in OH-13.",,emilia-sykes.jpg
50,Janelle Bynum,"U.S. Representative, OR-5","Salem, OR",44.9429,-123.0351,"leadership,democracy,governance,federal-legislation,policy,democratic","As U.S. Representative, OR-5, Janelle is committed to defending voting rights and ensuring fair elections in OR-5.",,janelle-bynum.jpg
51,Andrewa Salinas,"U.S. Representative, OR-6","Portland, OR",45.5152,-122.6784,"leadership,democracy,governance,federal-legislation,policy,democratic","Andrewa serves as U.S. Representative, OR-6 for OR-6, working to strengthen democratic institutions and civic engagement.",,andrewa-salinas.jpg
52,Janelle Stelson,"U.S. Representative, PA-10","Harrisburg, PA",40.2732,-76.8867,"leadership,democracy,governance,federal-legislation,policy,democratic","As U.S. Representative, PA-10, Janelle is committed to defending voting rights and ensuring fair elections in PA-10.",,janelle-stelson.jpg
53,Brendan Boyle,"U.S. Representative, PA-2","Philadelphia, PA",39.9526,-75.1652,"leadership,democracy,governance,federal-legislation,policy,democratic","Brendan serves as U.S. Representative, PA-2 for PA-2, working to strengthen democratic institutions and civic engagement.",,brendan-boyle.jpg
54,Chrissy Houlahan,"U.S. Representative, PA-6","Reading, PA",40.3356,-75.9269,"leadership,democracy,governance,federal-legislation,policy,democratic","Chrissy works tirelessly as U.S. Representative, PA-6 to protect democratic norms and expand civic participation.",,chrissy-houlahan.jpg
55,Paige Cognetti,"U.S. Representative, PA-8","Scranton, PA",41.409,-75.6624,"leadership,democracy,governance,federal-legislation,policy,democratic","Paige brings dedicated leadership to the role of U.S. Representative, PA-8, focusing on transparency and accountability.",,paige-cognetti.jpg
56,Seth Magaziner,"U.S. Representative, RI-2","Providence, RI",41.824,-71.4128,"leadership,democracy,governance,federal-legislation,policy,democratic","Serving RI-2 as U.S. Representative, RI-2, Seth champions democratic values and good governance.",,seth-magaziner.jpg
57,Colin Allred,"U.S. Representative, TX-33","Dallas, TX",32.7767,-96.797,"leadership,democracy,governance,federal-legislation,policy","Colin serves as U.S. Representative, TX-33 for TX-33, working to strengthen democratic institutions and civic engagement.",,colin-allred.jpg
58,Vicente Gonzalez,"U.S. Representative, TX-34","McAllen, TX",26.2034,-98.23,"leadership,democracy,governance,federal-legislation,policy","As U.S. Representative, TX-34, Vicente is committed to defending voting rights and ensuring fair elections in TX-34.",,vicente-gonzalez.jpg
59,Eugene Vindman,"U.S. Representative, VA-07","Richmond, VA",37.5407,-77.436,"leadership,democracy,governance,federal-legislation,policy,democratic","Eugene serves as U.S. Representative, VA-07 for VA-07, working to strengthen democratic institutions and civic engagement.",,eugene-vindman.jpg
60,Marie Gluesenkamp Perez,"U.S. Representative, WA-03","Vancouver, WA",45.6387,-122.6615,"leadership,democracy,governance,federal-legislation,policy,democratic","Marie serves as U.S. Representative, WA-03 for WA-03, working to strengthen democratic institutions and civic engagement.",,marie-gluesenkamp-perez.jpg
61,Rebecca Cooke,"U.S. Representative, WI-03","La Crosse, WI",43.8014,-91.2396,"leadership,democracy,governance,federal-legislation,policy,democratic","As U.S. Representative, WI-03, Rebecca is committed to defending voting rights and ensuring fair elections in WI-03.",,rebecca-cooke.jpg
62,Greg Landsman,U.S. Representative,"Washington, DC",38.9072,-77.0369,"leadership,democracy,governance,federal-legislation,policy","Serving  as U.S. Representative, Greg champions democratic values and good governance.",,greg-landsman.jpg
63,Mary Peltola,U.S. Senator,"Juneau, AK",58.3019,-134.4197,"leadership,democracy,governance,federal-legislation,policy,democratic","As U.S. Senator, Mary is committed to defending voting rights and ensuring fair elections in Alaska.",,mary-peltola.jpg
64,Lisa Murkowski,U.S. Senator,"Juneau, AK",58.3019,-134.4197,"leadership,democracy,governance,federal-legislation,policy,republican",Lisa works tirelessly as U.S. Senator to protect democratic norms and expand civic participation.,,lisa-murkowski.jpg
65,Mark Kelly,U.S. Senator,"Phoenix, AZ",33.4484,-112.074,"leadership,democracy,governance,federal-legislation,policy,democratic","Serving Arizona as U.S. Senator, Mark champions democratic values and good governance.",,mark-kelly.jpg
66,Ruben Gallego,U.S. Senator,"Phoenix, AZ",33.4484,-112.074,"leadership,democracy,governance,federal-legislation,policy,democratic",Ruben works tirelessly as U.S. Senator to protect democratic norms and expand civic participation.,,ruben-gallego.jpg
67,John Hickenlooper,U.S. Senator,"Denver, CO",39.7392,-104.9903,"leadership,democracy,governance,federal-legislation,policy,democratic","As U.S. Senator, John is committed to defending voting rights and ensuring fair elections in Colorado.",,john-hickenlooper.jpg
68,Chris Coons,U.S. Senator,"Dover, DE",39.1582,-75.5244,"leadership,democracy,governance,federal-legislation,policy,democratic","As U.S. Senator, Chris is committed to defending voting rights and ensuring fair elections in Deleware.",,chris-coons.jpg
69,Hector Mujica,U.S. Senator,"Tallahassee, FL",30.4383,-84.2807,"leadership,democracy,governance,federal-legislation,policy,democratic","As U.S. Senator, Hector is committed to defending voting rights and ensuring fair elections in Florida.",,hector-mujica.jpg
70,Jon Ossoff,U.S. Senator,"Atlanta, GA",33.749,-84.388,"leadership,democracy,governance,federal-legislation,policy,democratic","Jon serves as U.S. Senator for Georgia, working to strengthen democratic institutions and civic engagement.",,jon-ossoff.jpg
71,Raja Krishnamoorthi,U.S. Senator,"Springfield, IL",39.7817,-89.6501,"leadership,democracy,governance,federal-legislation,policy,democratic",Raja works tirelessly as U.S. Senator to protect democratic norms and expand civic participation.,,raja-krishnamoorthi.jpg
72,Seth Moulton,U.S. Senator,"Boston, MA",42.3601,-71.0589,"leadership,democracy,governance,federal-legislation,policy,democratic",Seth works tirelessly as U.S. Senator to protect democratic norms and expand civic participation.,,seth-moulton.jpg
73,Elissa Slotkin,U.S. Senator,"Lansing, MI",42.7325,-84.5555,"leadership,democracy,governance,federal-legislation,policy,democratic","Elissa serves as U.S. Senator for Michigan, working to strengthen democratic institutions and civic engagement.",,elissa-slotkin.jpg
74,Angie Craig,U.S. Senator,"St. Paul, MN",44.9537,-93.09,"leadership,democracy,governance,federal-legislation,policy,democratic","As U.S. Senator, Angie is committed to defending voting rights and ensuring fair elections in Minnesota.",,angie-craig.jpg
75,Dan Osborn (I),U.S. Senator,"Lincoln, NE",40.8136,-96.7026,"leadership,democracy,governance,federal-legislation,policy,democratic","As U.S. Senator, Dan is committed to defending voting rights and ensuring fair elections in Nebraska.",,dan-osborn-i.jpg
76,Roy Cooper,U.S. Senator,"Raleigh, NC",35.7796,-78.6382,"leadership,democracy,governance,federal-legislation,policy,democratic",Roy works tirelessly as U.S. Senator to protect democratic norms and expand civic participation.,,roy-cooper.jpg
77,Sherrod Brown,U.S. Senator,"Washington, DC",38.9072,-77.0369,"leadership,democracy,governance,federal-legislation,policy,democratic","As U.S. Senator, Sherrod is committed to defending voting rights and ensuring fair elections in Ohio (SE).",,sherrod-brown.jpg
78,Jack Reed,U.S. Senator,"Providence, RI",41.824,-71.4128,"leadership,democracy,governance,federal-legislation,policy,democratic","Serving Rhode Island as U.S. Senator, Jack champions democratic values and good governance.",,jack-reed.jpg
79,Mark Warner,U.S. Senator,"Richmond, VA",37.5407,-77.436,"leadership,democracy,governance,federal-legislation,policy,democratic",Mark works tirelessly as U.S. Senator to protect democratic norms and expand civic participation.,,mark-warner.jpg
80,Tim Kaine,U.S. Senator,"Richmond, VA",37.5407,-77.436,"leadership,democracy,governance,federal-legislation,policy,democratic",Tim works tirelessly as U.S. Senator to protect democratic norms and expand civic participation.,,tim-kaine.jpg
81,Adrian Fontes,Secretary of State,"Phoenix, AZ",33.4484,-112.074,"leadership,democracy,governance,voting-rights,electoral-reform,democratic","Adrian brings dedicated leadership to the role of Secretary of State, focusing on transparency and accountability.",,adrian-fontes.jpg
82,Dana Barrett,Secretary of State,"Atlanta, GA",33.749,-84.388,"leadership,democracy,governance,voting-rights,electoral-reform,democratic","Dana serves as Secretary of State for Georgia, working to strengthen democratic institutions and civic engagement.",,dana-barrett.jpg
83,Phil McGrane,Secretary of State,"Boise, ID",43.615,-116.2023,"leadership,democracy,governance,voting-rights,electoral-reform,republican",Phil works tirelessly as Secretary of State to protect democratic norms and expand civic participation.,,phil-mcgrane.jpg
84,Barbara Byrum,Secretary of State,"Lansing, MI",42.7325,-84.5555,"leadership,democracy,governance,voting-rights,electoral-reform,democratic","Serving Michigan as Secretary of State, Barbara champions democratic values and good governance.",,barbara-byrum.jpg
85,Sarah Godlewski,Secretary of State,"Madison, WI",43.0731,-89.4012,"leadership,democracy,governance,voting-rights,electoral-reform,democratic","Sarah brings dedicated leadership to the role of Secretary of State, focusing on transparency and accountability.",,sarah-godlewski.jpg
86,Sen. Eric Bassler,State Senator,"Indianapolis, IN",39.7684,-86.1581,"leadership,democracy,governance,state-policy,local-leadership,republican","Sen. serves as State Senator for Indiana, working to strengthen democratic institutions and civic engagement.",,sen-eric-bassler.jpg
87,Sen. Vaneta Becker,State Senator,"Indianapolis, IN",39.7684,-86.1581,"leadership,democracy,governance,state-policy,local-leadership,republican","Sen. serves as State Senator for Indiana, working to strengthen democratic institutions and civic engagement.",,sen-vaneta-becker.jpg
88,Sen. Mike Bohecek,State Senator,"Indianapolis, IN",39.7684,-86.1581,"leadership,democracy,governance,state-policy,local-leadership,republican","Serving Indiana as State Senator, Sen. champions democratic values and good governance.",,sen-mike-bohecek.jpg
89,Sen. Rodric Bray,State Senator,"Indianapolis, IN",39.7684,-86.1581,"leadership,democracy,governance,state-policy,local-leadership,republican","Serving Indiana as State Senator, Sen. champions democratic values and good governance.",,sen-rodric-bray.jpg
90,Sen. Brian Buchanan,State Senator,"Indianapolis, IN",39.7684,-86.1581,"leadership,democracy,governance,state-policy,local-leadership,republican","Sen. serves as State Senator for Indiana, working to strengthen democratic institutions and civic engagement.",,sen-brian-buchanan.jpg
91,Sen. Jim Buck,State Senator,"Indianapolis, IN",39.7684,-86.1581,"leadership,democracy,governance,state-policy,local-leadership,republican","Serving Indiana as State Senator, Sen. champions democratic values and good governance.",,sen-jim-buck.jpg
92,Sen. Ed Charbonneau,State Senator,"Indianapolis, IN",39.7684,-86.1581,"leadership,democracy,governance,state-policy,local-leadership,republican",Sen. works tirelessly as State Senator to protect democratic norms and expand civic participation.,,sen-ed-charbonneau.jpg
93,Sen. Brett Clark,State Senator,"Indianapolis, IN",39.7684,-86.1581,"leadership,democracy,governance,state-policy,local-leadership,republican","Sen. serves as State Senator for Indiana, working to strengthen democratic institutions and civic engagement.",,sen-brett-clark.jpg
94,Sen. Mike Crider,State Senator,"Indianapolis, IN",39.7684,-86.1581,"leadership,democracy,governance,state-policy,local-leadership,republican",Sen. works tirelessly as State Senator to protect democratic norms and expand civic participation.,,sen-mike-crider.jpg
95,Sen. Spencer Deery,State Senator,"Indianapolis, IN",39.7684,-86.1581,"leadership,democracy,governance,state-policy,local-leadership,republican","Sen. brings dedicated leadership to the role of State Senator, focusing on transparency and accountability.",,sen-spencer-deery.jpg
96,Sen. Dan Dernulc,State Senator,"Indianapolis, IN",39.7684,-86.1581,"leadership,democracy,governance,state-policy,local-leadership,republican",Sen. works tirelessly as State Senator to protect democratic norms and expand civic participation.,,sen-dan-dernulc.jpg
97,Sen. Blake Doriot,State Senator,"Indianapolis, IN",39.7684,-86.1581,"leadership,democracy,governance,state-policy,local-leadership,republican","As State Senator, Sen. is committed to defending voting rights and ensuring fair elections in Indiana.",,sen-blake-doriot.jpg
98,Sen. Sue Glick,State Senator,"Indianapolis, IN",39.7684,-86.1581,"leadership,democracy,governance,state-policy,local-leadership,republican","Serving Indiana as State Senator, Sen. champions democratic values and good governance.",,sen-sue-glick.jpg
99,Sen. Greg Goode,State Senator,"Indianapolis, IN",39.7684,-86.1581,"leadership,democracy,governance,state-policy,local-leadership,republican","Sen. brings dedicated leadership to the role of State Senator, focusing on transparency and accountability.",,sen-greg-goode.jpg
100,Sen. Travis Holdman,State Senator,"Indianapolis, IN",39.7684,-86.1581,"leadership,democracy,governance,state-policy,local-leadership,republican","Sen. serves as State Senator for Indiana, working to strengthen democratic institutions and civic engagement.",,sen-travis-holdman.jpg
101,Sen. Jean Leising,State Senator,"Indianapolis, IN",39.7684,-86.1581,"leadership,democracy,governance,state-policy,local-leadership,republican",Sen. works tirelessly as State Senator to protect democratic norms and expand civic participation.,,sen-jean-leising.jpg
102,Sen. Ryan Mishler,State Senator,"Indianapolis, IN",39.7684,-86.1581,"leadership,democracy,governance,state-policy,local-leadership,republican","Serving Indiana as State Senator, Sen. champions democratic values and good governance.",,sen-ryan-mishler.jpg
103,Sen. Rick Niemeyer,State Senator,"Indianapolis, IN",39.7684,-86.1581,"leadership,democracy,governance,state-policy,local-leadership,republican","As State Senator, Sen. is committed to defending voting rights and ensuring fair elections in Indiana.",,sen-rick-niemeyer.jpg
104,Sen. Linda Rogers,State Senator,"Indianapolis, IN",39.7684,-86.1581,"leadership,democracy,governance,state-policy,local-leadership,republican","Serving Indiana as State Senator, Sen. champions democratic values and good governance.",,sen-linda-rogers.jpg
105,Sen. Greg Walker,State Senator,"Indianapolis, IN",39.7684,-86.1581,"leadership,democracy,governance,state-policy,local-leadership,republican","As State Senator, Sen. is committed to defending voting rights and ensuring fair elections in Indiana.",,sen-greg-walker.jpg
106,Sen. Kyle Walker,State Senator,"Indianapolis, IN",39.7684,-86.1581,"leadership,democracy,governance,state-policy,local-leadership,republican",Sen. works tirelessly as State Senator to protect democratic norms and expand civic participation.,,sen-kyle-walker.jpg
